Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,combo
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-4_A_8,8,gray,fragment,Non-Fiber,Blacks,0,makes dents when touched hard enough,done,0.897,2.76,0.848,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-4_A_9,9,black,fragment,Non-Fiber,Blacks,0,makes dents when touched hard enough,done,0.472,1.481,0.551,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_1,1,green,fragment,Non-Fiber,Greens,0,"thin sheet, seems to break easily",done,0.574,1.522,0.78,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_12,12,black,fragment,Non-Fiber,Blacks,0,becomes shiny when touched? flecks of gold,done,1.887,2.106,1.248,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_13,13,green,fragment,Non-Fiber,Greens,0,0,0,0.485,1.157,0.603,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_14,14,white,foam,Non-Fiber,Whites,0,does not retain original shape too well,0,2.65,2.813,1.383,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_15,15,white,fragment,Non-Fiber,Whites,0,"covered in blue flakes, when compressed breaks into smaller sheets",done,1.523,2.871,0.853,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_16,16,black,tw,Non-Fiber,Blacks,0,"bounces back when touched, retains original shape",done,0.369,1.573,0.443,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_18,18,black,fragment,Non-Fiber,Blacks,0,"long and tubular particle, too thick to be fiber, hard surface",done,0.429,3.343,0.944,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_19,19,green,fragment,Non-Fiber,Greens,0,0,0,0.648,1.057,0.826,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_2,2,green,fragment,Non-Fiber,Greens,0,0,0,0.583,1.439,0.723,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_20,20,blue,fragment,Non-Fiber,Blues,0,0,0,0.38,0.944,0.535,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_22,22,white,fragment,Non-Fiber,Whites,0,when pressed breaks pretty easily,done,1.092,1.886,0.817,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_23,23,clear,fragment,Non-Fiber,Transparent,0,little flakes covering the particle,done,0.442,0.903,0.686,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_24,24,white,foam,Non-Fiber,Whites,0,0,0,4.052,3.351,2.025,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_27,27,green,fragment,Non-Fiber,Greens,0,0,0,0.352,1.772,0.551,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_29,29,black,tw,Non-Fiber,Blacks,0,"bounces back when pressed, retains original shape",done,0.45,1.158,0.704,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_3,3,white,foam,Non-Fiber,Whites,0,does not retain original shape too well,0,2.291,2.14,1.702,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_4,4,black,fragment,Non-Fiber,Blacks,0,has a hard surface,done,0.54,1.866,0.648,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_7,7,white,fragment,Non-Fiber,Whites,0,"has many different sheets, can be compressed",done,1.29,2.238,0.999,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-5_A_8,8,gray,fragment,Non-Fiber,Blacks,0,"has flexible shape, can be compressed",done,0.978,1.818,1.071,0,sub
SDC,2,SF-4,SDC-SF-4-N-2,SDC-SF-4,SDC-SF-4-N-2_S0-0_A_1,1,black,fragment,Non-Fiber,Blacks,0,could make dents in the particle.,0,0.17,0.621,0.395,0,All
SDC,2,SF-4,SDC-SF-4-N-2,SDC-SF-4,SDC-SF-4-N-2_S0-0_A_10,10,pink,fragment,Non-Fiber,Reds,0,0,0,0.099,0.991,0.337,0,All
SDC,2,SF-4,SDC-SF-4-N-2,SDC-SF-4,SDC-SF-4-N-2_S0-0_A_11,11,green,fragment,Non-Fiber,Greens,0,0,0,0.04,0.577,0.218,0,All
SDC,2,SF-4,SDC-SF-4-N-2,SDC-SF-4,SDC-SF-4-N-2_S0-0_A_12,12,black,fragment,Non-Fiber,Blacks,0,has a black fiber in the circle.,0,0.479,1.233,0.869,0,All
SDC,2,SF-4,SDC-SF-4-N-2,SDC-SF-4,SDC-SF-4-N-2_S0-0_A_13,13,blue,fragment,Non-Fiber,Blues,0,0,0,0.091,1.447,0.254,0,All
SDC,2,SF-4,SDC-SF-4-N-2,SDC-SF-4,SDC-SF-4-N-2_S0-0_A_14,14,black,fragment,Non-Fiber,Blacks,0,0,0,0.364,1.173,0.649,0,All
SDC,2,SF-4,SDC-SF-4-N-2,SDC-SF-4,SDC-SF-4-N-2_S0-0_A_15,15,black,fragment,Non-Fiber,Blacks,0,has a small blue fiber in the circle.,0,0.12,0.725,0.364,0,All
SDC,2,SF-4,SDC-SF-4-N-2,SDC-SF-4,SDC-SF-4-N-2_S0-0_A_16,16,green,fragment,Non-Fiber,Greens,0,0,0,0.89,1.555,1.091,0,All
SDC,2,SF-4,SDC-SF-4-N-2,SDC-SF-4,SDC-SF-4-N-2_S0-0_A_17,17,black,TW,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",done,0.085,0.55,0.258,0,All
SDC,2,SF-4,SDC-SF-4-N-2,SDC-SF-4,SDC-SF-4-N-2_S0-0_A_18,18,gray,fragment,Non-Fiber,Blacks,0,0,0,0.465,1.612,0.809,0,All
SDC,2,SF-4,SDC-SF-4-N-2,SDC-SF-4,SDC-SF-4-N-2_S0-0_A_19,19,black,fragment,Non-Fiber,Blacks,0,0,0,0.062,0.442,0.287,0,All
