X,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,a,b,c,CSF,Deqi,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
56,Polyesters,fiber,POLYESTERS,fiber,SDC,Stormflow,2,SC,NA,2.13,SF-2,SDC-SF-2-N-2,SDC-SF-2,SDC-SF-2-N-2_S0-0_J_35,35,purple,Fiber,Blue,0.003763,0.000389,0.000196382,0.162315003,0.000196382,1010,0.00196986,0.024089964,751,-0.00894314,-0.109368123,1270,0.014908693,0.182322501
57,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,2,SC,NA,2.13,SF-2,SDC-SF-2-N-2,SDC-SF-2,SDC-SF-2-N-2_S0-0_L_33,33,red,Fiber,Red,0.002176,0.000564,0.000545088,0.492036843,0.000545088,1450,0.044104659,0.539367993,1440,0.043531679,0.532360869,1460,0.044672131,0.546307772
58,Polyesters,fiber,POLYESTERS,fiber,SDC,Stormflow,2,SC,NA,2.13,SF-2,SDC-SF-2-N-2,SDC-SF-2,SDC-SF-2-N-2_S0-0_N_38,38,blue,Fiber,Blue,0.007491,0.001252,0.000629746,0.205633094,0.000629746,1010,0.005839662,0.071414827,751,-0.026509434,-0.32419116,1270,0.040227768,0.491956434
59,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,3,T-1,Inside Thalweg,0.87,SF-2,SDC-SF-2-N-3,SDC-SF-2,SDC-SF-2-N-3_S1-2_A_3,3,black,Fiber,Black,0.001678,0.000351,0.000176339,0.229772917,0.000176339,1450,0.018388402,0.351864027,1440,0.018129431,0.346908589,1460,0.018645209,0.356778052
60,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,3,T-1,Inside Thalweg,0.87,SF-2,SDC-SF-2-N-3,SDC-SF-2,SDC-SF-2-N-3_S1-2_A_11,11,black,Fiber,Black,0.000579,0.000356,0.00014504,0.319464065,0.00014504,1450,0.015169624,0.290272371,1440,0.01495573,0.286179493,1460,0.015381735,0.294331134
61,PP,fiber,POLY(PROPYLENE),fiber,SDC,Stormflow,3,T-1,Inside Thalweg,0.87,SF-2,SDC-SF-2-N-3,SDC-SF-2,SDC-SF-2-N-3_S1-3_A_4,4,black,Fiber,Black,0.00218,0.000273,0.00013759,0.178351719,0.00013759,1000,0.000426539,0.008161861,999,0.000269488,0.005156685,1000,0.000426539,0.008161861
62,PE,fiber,POLY(ETHYLENE),fiber,SDC,Stormflow,3,T-1,Inside Thalweg,0.87,SF-2,SDC-SF-2-N-3,SDC-SF-2,SDC-SF-2-N-3_S1-3_A_13,13,black,Fiber,Black,0.017729,0.001222,0.000619865,0.133173877,0.000619865,1010,0.005870568,0.112333947,751,-0.02665038,-0.509957847,1270,0.041332558,0.790902901
63,EVA,fiber,ETHYLENE-VINYL ACETATE,fiber,SDC,Stormflow,3,T-1,Inside Thalweg,0.87,SF-2,SDC-SF-2-N-3,SDC-SF-2,SDC-SF-2-N-3_S1-4_A_1,1,red,Fiber,Red,0.007381,0.001412,0.000709691,0.219833584,0.000709691,939,-0.011832321,-0.226412723,934,-0.012465475,-0.238528194,944,-0.011178987,-0.213911103
64,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,3,T-1,Inside Thalweg,0.87,SF-2,SDC-SF-2-N-3,SDC-SF-2,SDC-SF-2-N-3_S1-4_A_9,9,red,Fiber,Red,0.002507,0.000594,0.000298254,0.244407855,0.000298254,1450,0.029072016,0.556296116,1440,0.028672783,0.548656751,1460,0.029467737,0.563868288
65,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,3,T-1,Inside Thalweg,0.87,SF-2,SDC-SF-2-N-3,SDC-SF-2,SDC-SF-2-N-3_S1-4_A_19,19,blue,Fiber,Blue,0.007472,0.000961,0.000484236,0.180707821,0.000484236,1450,0.04470687,0.855470706,1440,0.044103961,0.84393399,1460,0.045304301,0.866902625
